batch_size,learning_rate,epoch,lambda,test_loss,curvature,accuracy,crossentropy,Unnamed: 8,Unnamed: 9,Unnamed: 10,learning_rate.1,epoch.1,lambda.1,test_loss.1,crossentropy.1,curvature.1,without quantation,4bit-10,4bit-100,8bit-10,8bit-100
128.0,0.001,30.0,0.999,0.976865,246.497771,75.38,0.731099,,,,0.001,10.0,1.0,0.936912,0.936912,18590489.05,75.36,71.36,70.78,75.08,75.21
128.0,0.001,30.0,0.995,1.178084,40.967419,67.56,0.978138,,,,0.001,10.0,0.999,1.194894,1.023594,172.323127,65.41,51.63,25.57,65.52,65.57
128.0,0.001,30.0,0.99,1.206697,17.505394,65.88,1.042064,,,,0.001,10.0,0.99,1.474681,1.338165,14.989801,55.45,34.69,10.85,52.02,52.59
128.0,0.001,30.0,0.95,1.664062,3.521873,48.61,1.566282,,,,0.001,20.0,0.95,1.563762,1.481083,3.134663,48.38,16.59,,42.18,47.26
128.0,0.001,30.0,0.9,1.558149,1.218648,47.9,1.595871,,,,0.001,20.0,0.9,1.54114,1.587172,1.12685,45.21,13.29,,32.0,38.35
128.0,0.001,30.0,0.85,1.553769,0.669524,39.99,1.709812,,,,0.001,30.0,0.8,1.532871,1.829197,0.347567,39.9,,,,
128.0,0.001,30.0,0.8,1.502197,0.41542,37.42,1.773892,,,,,,,,,,,,,,
128.0,0.001,30.0,0.7,1.302886,0.228005,39.07,1.763549,,,,,,,,,,,,,,
128.0,0.001,30.0,0.6,1.202309,0.109983,32.01,1.930526,,,,,,,,,,,,,,
128.0,0.001,30.0,0.5,1.016516,0.061057,30.87,1.971975,,,,,,,,,,,,,,
128.0,0.001,30.0,0.4,0.807218,0.044837,35.07,1.95079,,,,,,,,,,,,,,
128.0,0.001,30.0,0.3,0.63436,0.02174,30.91,2.063806,,,,,,,,,,,,,,
128.0,0.001,30.0,0.2,0.426135,0.015156,30.9,2.070054,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
